y x ey ex
24.02	25.01	0.01	0.001
23.4	22.012	0.01	0.001
22.67	19.143	0.01	0.001
21.88	16.127	0.01	0.001
20.79	13.064	0.01	0.001
18.56	10.106	0.01	0.001
15.85	8.066	0.01	0.001
11.95	6.025	0.01	0.001
6.92	4.0373	0.01	0.001
0.65	2.0156	0.01	0.001
-35.36	-25.011	0.01	0.001
-34.11	-22.057	0.01	0.001
-32.89	-19.136	0.01	0.001
-31.6	-16.017	0.01	0.001
-30.28	-13.143	0.01	0.001
-28.21	-10.167	0.01	0.001
-25.91	-8.092	0.01	0.001
-22.55	-6.002	0.01	0.001
-18.15	-4.03	0.01	0.001
-12.35	-2.0146	0.01	0.001
-7.62	-0.5892	0.01	0.001
