17,7682647;1;;R1-R2;*10^4;10000
17,7685794;152;;-0,0001545;-1,545;
17,7685947;153;;1,53E-05;0,153;
17,7689838;154;;0,0003891;3,891;
17,7693462;155;;0,0003624;3,624;
17,7692146;156;;-0,0001316;-1,316;
17,7684249;157;;-0,0007897;-7,897;
17,7682476;158;;-0,0001773;-1,773;
17,768938;159;;0,0006904;6,904;
17,7687721;160;;-0,0001659;-1,659;
17,7687911;161;;1,90E-05;0,19;
17,7680225;162;;-0,0007686;-7,686;
17,7689151;163;;0,0008926;8,926;
17,7693824;164;;0,0004673;4,673;
17,7689552;165;;-0,0004272;-4,272;
17,7688121;166;;-0,0001431;-1,431;
17,7686367;167;;-0,0001754;-1,754;
17,7680873;168;;-0,0005494;-5,494;
17,7685375;169;;0,0004502;4,502;
17,7684173;170;;-0,0001202;-1,202;
17,7685852;171;;0,0001679;1,679;
17,7680759;172;;-0,0005093;-5,093;
17,7688446;173;;0,0007687;7,687;
17,7691497;174;;0,0003051;3,051;
17,7685794;175;;-0,0005703;-5,703;
17,7690315;176;;0,0004521;4,521;
17,7690353;177;;3,80E-06;0,038;
17,7685718;178;;-0,0004635;-4,635;
17,7687416;179;;0,0001698;1,698;
17,768671;180;;-7,06E-05;-0,706;
17,7685317;181;;-0,0001393;-1,393;
17,7686519;182;;0,0001202;1,202;
17,7688903;183;;0,0002384;2,384;
17,7686061;184;;-0,0002842;-2,842;
17,7688808;185;;0,0002747;2,747;
17,7687835;186;;-9,73E-05;-0,973;
17,7683677;187;;-0,0004158;-4,158;
17,7684249;188;;5,72E-05;0,572;
17,7687358;189;;0,0003109;3,109;
17,7684421;190;;-0,0002937;-2,937;
17,7684268;191;;-1,53E-05;-0,153;
17,7685031;192;;7,63E-05;0,763;
17,7691307;193;;0,0006276;6,276;
17,7683277;194;;-0,000803;-8,03;
17,7684097;195;;8,20E-05;0,82;
17,7684707;196;;6,10E-05;0,61;
17,7688465;197;;0,0003758;3,758;
17,7684974;198;;-0,0003491;-3,491;
17,768753;199;;0,0002556;2,556;
17,7685737;200;;-0,0001793;-1,793;
17,768404;201;;-0,0001697;-1,697;
17,7682762;202;;-0,0001278;-1,278;
17,7684726;203;;0,0001964;1,964;
