x y ey ex
22.65   0.4400   0.0001 0.01
22.55   0.3900   0.0001 0.01
22.57   0.4050  0.0001 0.01
23.86  0.4150 0.0001 0.01
23.46   0.5950   0.0001 0.01
22.85   0.5350   0.0001 0.01
23.24   0.6660  0.0001 0.01
23.78   0.4440   0.0001 0.01
23.91   0.3900    0.0001 0.01
23.37   0.6350   0.0001 0.01
23.65   0.9100    0.0001 0.01
23.78   0.4440   0.0001 0.01
22.60   0.4170   0.0001 0.01
22.62   0.4260   0.0001 0.01
22.13   0.2740  0.0001 0.01 
23.85   0.4140  0.0001 0.01
