y  ey x ex
0.615384615384615	0.0857988165680474	0.770223752151463               	0.000761714179066895
0.571428571428571	0.102040816326531	0.78184165232358					0.000766713275526498
0.571428571428571	0.102040816326531	0.790447504302926					0.000770416309941018
0.619047619047619	0.106575963718821	0.796901893287435					0.000773193585751909
0.636363636363636	0.103305785123967	0.800344234079174					0.000774674799517717
0.666666666666667	0.111111111111111 0.809380378657487				    0.000778562985652964
0.705882352941177	0.118223760092272	0.821858864027539				0.000783932385554018
0.740740740740741 0.114883401920439	0.825301204819277					0.000785413599319827
0.8	0.065	0.828743545611016					0.000786894813085635
0.954545454545455	0.0661157024793388	0.846815834767642					0.000794671185356128
0.867924528301887	0.0516197935208259	0.851118760757315					0.000796522702563389
0.827586206896552	0.0457788347205707	0.857573149741825					0.000799299978374279
0.806451612903226	0.0421436004162331	0.865748709122203					0.000802817861068074
0.787878787878788	0.0390266299357208	0.875215146299484					0.000806891198924047
0.764705882352941	0.03719723183391	0.882099827882961					0.000809853626455663
0.764705882352941	0.03719723183391	0.915232358003442					0.000824110308951567
