x y ey ex 
21.42 0.592592592592593 0.0809327846364883 0.01
21.88 0.615384615384615 0.0857988165680474 0.01
21.95 0.62962962962963 0.0836762688614541 0.01
22.12 0.642857142857143 0.0816326530612245 0.01
22.37 0.652173913043478 0.0834908632640202 0.01
22.54 0.692307692307692 0.0917159763313609 0.01
22.7 0.714285714285714 0.086734693877551 0.01
22.83 0.782608695652174 0.09294265910523 0.01
22.94 0.846153846153846 0.103550295857988 0.01
23.33 0.903225806451613 0.0905306971904266 0.01
23.53 0.945454545454545 0.0525619834710744 0.01
23.8 0.866666666666667 0.0455555555555556 0.01
24 0.84375 0.0419921875 0.01
24.28 0.787878787878788 0.0390266299357208 0.01
25 0.753623188405797 0.0363369040117622 0.01
24.7 0.736842105263158 0.0325484764542936 0.01
